H,rs,active_folds,mean_sharpe,mean_trades,worst_dd,sharpe_ci_lo,sharpe_ci_hi,significant_at_95,p_value_null,deflated_sharpe_stat,expected_max_under_null,probability_edge_real,min_detectable_sharpe,is_adequately_powered,fdr_passes
0.45,0.35,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.1,17,-0.5518913194876608,16.88235294117647,0.3170556432914402,-0.7215733220882521,-0.4065706032447334,True,0.056,-4.644802536591069,0.6093093146601065,1.7020094021891272e-06,9.573260623672772,False,False
0.5,0.15,15,-0.6658556227690148,17.066666666666666,0.3170556432914402,-0.9311875682602649,-0.5627529039728878,True,0.038,-4.928640868099073,0.6513790565794729,4.140181068190649e-07,10.191514190635859,False,False
0.5,0.2,3,-0.2612709078526992,15.666666666666666,0.1278400340222806,-0.2612709078526992,-0.2612709078526992,True,1.0,-2.8067301199792443,1.7233869929451566,0.0025023575871580468,22.788918523915534,False,False
0.5,0.25,2,-0.4841059135428258,18.0,0.1278400340222806,,,False,,-2.921343172183252,2.437237258640426,0.0017426284711863037,,False,False
0.5,0.3,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.35,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.1,17,-0.5518913194876608,16.88235294117647,0.3170556432914402,-0.7215733220882521,-0.4065706032447334,True,0.056,-4.644802536591069,0.6093093146601065,1.7020094021891272e-06,9.573260623672772,False,False
0.55,0.15,15,-0.6658556227690148,17.066666666666666,0.3170556432914402,-0.9311875682602649,-0.5627529039728878,True,0.038,-4.928640868099073,0.6513790565794729,4.140181068190649e-07,10.191514190635859,False,False
0.55,0.2,3,-0.2612709078526992,15.666666666666666,0.1278400340222806,-0.2612709078526992,-0.2612709078526992,True,1.0,-2.8067301199792443,1.7233869929451566,0.0025023575871580468,22.788918523915534,False,False
0.55,0.25,2,-0.4841059135428258,18.0,0.1278400340222806,,,False,,-2.921343172183252,2.437237258640426,0.0017426284711863037,,False,False
0.55,0.3,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.35,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.1,17,-0.5518913194876608,16.88235294117647,0.3170556432914402,-0.7215733220882521,-0.4065706032447334,True,0.056,-4.644802536591069,0.6093093146601065,1.7020094021891272e-06,9.573260623672772,False,False
0.6,0.15,15,-0.6658556227690148,17.066666666666666,0.3170556432914402,-0.9311875682602649,-0.5627529039728878,True,0.038,-4.928640868099073,0.6513790565794729,4.140181068190649e-07,10.191514190635859,False,False
0.6,0.2,3,-0.2612709078526992,15.666666666666666,0.1278400340222806,-0.2612709078526992,-0.2612709078526992,True,1.0,-2.8067301199792443,1.7233869929451566,0.0025023575871580468,22.788918523915534,False,False
0.6,0.25,2,-0.4841059135428258,18.0,0.1278400340222806,,,False,,-2.921343172183252,2.437237258640426,0.0017426284711863037,,False,False
0.6,0.3,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.35,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
